panel,evolution,curve,curve_r,n_data,N,M,panel_r_reservoir,R_panel,total_qubits_panel,C,Delta,delta_t,tau,gamma,t_over_tau,t,F
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.0,0.0,0.0009765625
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.0016666666666666668,1.0728542750084675,0.0020990834758174595
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.0033333333333333335,2.145708550016935,0.005461601263010427
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.005,3.2185628250254026,0.01104900311604762
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.006666666666666667,4.29141710003387,0.018836176607953167
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.008333333333333333,5.364271375042337,0.02878812249743248
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.01,6.437125650050805,0.0408601120320187
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.011666666666666667,7.509979925059273,0.05499788798024448
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.013333333333333334,8.58283420006774,0.07113790848930614
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.015,9.655688475076207,0.0892076326722074
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.016666666666666666,10.728542750084674,0.10912584664082052
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.018333333333333333,11.801397025093143,0.13080302851951653
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.02,12.87425130010161,0.15414175079882142
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.021666666666666667,13.947105575110077,0.1790371182207306
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.023333333333333334,15.019959850118546,0.20537723922761758
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.025,16.092814125127013,0.2330437288558233
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.02666666666666667,17.16566840013548,0.26191224081368253
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.028333333333333335,18.238522675143948,0.2918530263525797
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.03,19.311376950152415,0.32273151741920075
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.03166666666666667,20.38423122516088,0.35440893146802077
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.03333333333333333,21.45708550016935,0.38674289521571203
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.035,22.52993977517782,0.41958808453402846
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.03666666666666667,23.602794050186287,0.45279687760518095
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.03833333333333334,24.675648325194754,0.4862200184041158
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.04,25.74850260020322,0.5197072875256977
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.04166666666666667,26.821356875211688,0.5531081773417738
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.043333333333333335,27.894211150220155,0.5862725684536505
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.045,28.967065425228622,0.6190514043996843
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.04666666666666667,30.039919700237093,0.6512973615855276
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.04833333333333334,31.11277397524556,0.6828655114260542
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.05,32.18562825025403,0.7136139717229745
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.05166666666666667,33.258482525262494,0.7434045443505515
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.05333333333333334,34.33133680027096,0.7721033363833513
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.055,35.40419107527943,0.7995813618743849
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.05666666666666667,36.477045350287895,0.8257151215789712
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.058333333333333334,37.54989962529636,0.8503871580187582
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.06,38.62275390030483,0.8734865833911991
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.06166666666666667,39.695608175313296,0.8949095779517834
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.06333333333333334,40.76846245032176,0.9145598566290857
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.065,41.84131672533023,0.9323491017754195
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.06666666666666667,42.9141710003387,0.9481973601081239
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.06833333333333334,43.98702527534717,0.9620334020574379
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.07,45.05987955035564,0.9737950419058798
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.07166666666666667,46.132733825364106,0.9834294172802791
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.07333333333333333,47.20558810037257,0.9908932267402867
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.07500000000000001,48.27844237538104,0.9961529243955294
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.07666666666666667,49.35129665038951,0.9991848706767134
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.07833333333333334,50.424150925397974,0.9999754385830278
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.08,51.49700520040644,0.9985210749283336
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.08166666666666667,52.56985947541491,0.9948283163108631
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.08333333333333334,53.642713750423376,0.9889137597346547
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.085,54.71556802543184,0.9808039880147669
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.08666666666666667,55.78842230044031,0.9705354503015315
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.08833333333333333,56.86127657544878,0.9581542982608311
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.09,57.934130850457244,0.9437161786466809
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.09166666666666667,59.00698512546571,0.9272859831983928
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.09333333333333334,60.079839400474185,0.9089375569864035
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.09500000000000001,61.15269367548265,0.8887533665175965
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.09666666666666668,62.22554795049112,0.8668241290918083
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.09833333333333334,63.298402225499586,0.8432484050753736
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.1,64.37125650050805,0.8181321549242149
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.10166666666666667,65.44411077551652,0.7915882629474285
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.10333333333333335,66.51696505052499,0.7637360299518043
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.10500000000000001,67.58981932553345,0.7347006370475639
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.10666666666666667,68.66267360054192,0.7046125830252371
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.10833333333333334,69.73552787555039,0.6736070978323652
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.11,70.80838215055886,0.6418235347861502
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.11166666666666668,71.88123642556732,0.609404744253726
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.11333333333333334,72.95409070057579,0.5764964316150357
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.115,74.02694497558426,0.5432465023939307
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.11666666666666667,75.09979925059272,0.5098043975007795
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.11833333333333333,76.17265352560119,0.476320421574329
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.12,77.24550780060966,0.4429450674415552
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.12166666666666667,78.31836207561813,0.4098283397317112
a,continuous,standard,0,10,1024,1,4,16,14,5.0,0.00976085546369597,3.141592653589793,643.7125650050805,0.03925072872639879,0.12333333333333334,79.39121635062659,0.37711908068456573
