panel,evolution,curve,curve_r,n_data,N,M,panel_r_reservoir,R_panel,total_qubits_panel,Delta,delta_t,tau,gamma,t_over_tau,t,F
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.0,0.0,0.0009765625
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.0016666666666666666,0.10471975511965977,0.0009872612097635925
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.003333333333333333,0.20943951023931953,0.0010193568807572294
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.005,0.3141592653589793,0.0010728481381092007
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.006666666666666666,0.41887902047863906,0.0011477326904320826
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.008333333333333333,0.5235987755982988,0.0012440073299208683
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.01,0.6283185307179586,0.0013616679324904481
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.011666666666666665,0.7330382858376183,0.001500709457952202
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.013333333333333332,0.8377580409572781,0.0016611259502299451
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.015,0.9424777960769379,0.0018429105376150585
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.016666666666666666,1.0471975511965976,0.002046055433060848
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.01833333333333333,1.1519173063162573,0.0022705519345161016
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.02,1.2566370614359172,0.0025163904252978896
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.021666666666666664,1.361356816555577,0.002783560374503477
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.02333333333333333,1.4660765716752366,0.003072050337461456
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.025,1.5707963267948966,0.003381847956221971
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.026666666666666665,1.6755160819145563,0.0037129399600861254
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.028333333333333332,1.780235837034216,0.00406531216617444
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.03,1.8849555921538759,0.004438949480034359
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.03166666666666666,1.9896753472735356,0.00483383589628698
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.03333333333333333,2.0943951023931953,0.005249954499312463
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.035,2.199114857512855,0.005687287463974833
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.03666666666666666,2.3038346126325147,0.006145816056385436
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.03833333333333333,2.4085543677521746,0.006625520634705459
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.04,2.5132741228718345,0.007126380649987358
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.041666666666666664,2.617993877991494,0.007648374647055065
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.04333333333333333,2.722713633111154,0.008191480265423096
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.045,2.827433388230814,0.008755674240254335
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.04666666666666666,2.9321531433504733,0.009340932403356681
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.04833333333333333,3.036872898470133,0.009947229684218338
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.05,3.141592653589793,0.010574540111081693
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.05166666666666666,3.2463124087094526,0.011222836812055903
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.05333333333333333,3.3510321638291125,0.011892092016268011
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.055,3.4557519189487724,0.012582277055052521
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.056666666666666664,3.560471674068432,0.013293362363179488
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.058333333333333334,3.665191429188092,0.014025317480120978
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.06,3.7699111843077517,0.014778111051355836
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.06166666666666666,3.874630939427411,0.01555171082971312
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.06333333333333332,3.979350694547071,0.016346083676753047
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.065,4.084070449666731,0.01716119556418666
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.06666666666666667,4.1887902047863905,0.017997011575333524
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.06833333333333333,4.29350995990605,0.018853495906617824
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.07,4.39822971502571,0.01973061186910096
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.07166666666666666,4.50294947014537,0.020628321890054865
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.07333333333333332,4.607669225265029,0.021546587514569577
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.075,4.71238898038469,0.02248536940720242
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.07666666666666666,4.817108735504349,0.02344462735366116
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.07833333333333332,4.921828490624009,0.024424320262528536
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.08,5.026548245743669,0.02542440616702046
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.08166666666666667,5.1312680008633285,0.026444842226785593
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.08333333333333333,5.235987755982988,0.02748558472973968
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.085,5.340707511102648,0.028546589093937293
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.08666666666666666,5.445427266222308,0.02962780986948315
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.08833333333333332,5.550147021341967,0.030729200740477414
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.09,5.654866776461628,0.031850714527001375
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.09166666666666666,5.759586531581287,0.03299230318713652
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.09333333333333332,5.864306286700947,0.03415391781902476
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.095,5.969026041820607,0.035335508662960806
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.09666666666666666,6.073745796940266,0.03653702510352618
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.09833333333333333,6.178465552059926,0.03775841567175491
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.1,6.283185307179586,0.03899962804734073
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.10166666666666666,6.387905062299246,0.04026060906087594
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.10333333333333332,6.492624817418905,0.04154130469613146
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.105,6.5973445725385655,0.04284166009236809
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.10666666666666666,6.702064327658225,0.04416161954668921
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.10833333333333332,6.8067840827778845,0.04550112651642432
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.11,6.911503837897545,0.04686012362155376
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.11166666666666666,7.016223593017204,0.048238552647163924
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.11333333333333333,7.120943348136864,0.049636354545943805
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.115,7.225663103256524,0.051053469440711596
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.11666666666666667,7.330382858376184,0.052489836626982554
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.11833333333333332,7.435102613495843,0.05394539457556612
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.12,7.5398223686155035,0.055420080935204716
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.12166666666666666,7.644542123735163,0.05691383253524326
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.12333333333333332,7.749261878854822,0.058426585388333875
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.125,7.853981633974483,0.0599582746931799
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.12666666666666665,7.958701389094142,0.06150883483730931
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.12833333333333333,8.063421144213802,0.06307819939988578
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.13,8.168140899333462,0.064666301154555
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.13166666666666665,8.27286065445312,0.06627307207232283
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.13333333333333333,8.377580409572781,0.06789844332447219
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.135,8.482300164692441,0.06954234528550739
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.13666666666666666,8.5870199198121,0.07120470753613996
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.13833333333333334,8.69173967493176,0.07288545886630277
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.14,8.79645943005142,0.0745845272782048
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.14166666666666664,8.90117918517108,0.07630183998940916
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.1433333333333333,9.00589894029074,0.0780373234359551
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.145,9.1106186954104,0.07979090327550693
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.14666666666666664,9.215338450530059,0.0815625043905425
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.14833333333333332,9.320058205649719,0.08335205089156551
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.15,9.42477796076938,0.08515946612035988
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.15166666666666664,9.529497715889038,0.08698467265327184
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.15333333333333332,9.634217471008698,0.08882759230453026
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.155,9.738937226128359,0.09068814612958982
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.15666666666666665,9.843656981248017,0.0925662544285173
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.15833333333333333,9.948376736367678,0.09446183674940291
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.16,10.053096491487338,0.09637481189181094
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.16166666666666665,10.157816246606997,0.09830509791025221
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.16333333333333333,10.262536001726657,0.10025261211769723
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.165,10.367255756846317,0.10221727108912111
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.16666666666666666,10.471975511965976,0.10419899066507152
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.16833333333333333,10.576695267085636,0.10619768595527743
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.17,10.681415022205297,0.10821327134228363
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.17166666666666663,10.786134777324955,0.1102456604851228
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.1733333333333333,10.890854532444616,0.11229476632300724
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.175,10.995574287564276,0.11436050107906298
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.17666666666666664,11.100294042683934,0.11644277626408686
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.17833333333333332,11.205013797803595,0.11854150268034294
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.18,11.309733552923255,0.12065659042537526
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.18166666666666664,11.414453308042914,0.12278794889586465
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.18333333333333332,11.519173063162574,0.12493548679150648
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.185,11.623892818282235,0.1270991121189274
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.18666666666666665,11.728612573401893,0.12927873219561817
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.18833333333333332,11.833332328521553,0.13147425365390925
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.19,11.938052083641214,0.13368558244496725
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.19166666666666665,12.042771838760872,0.13591262384282912
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.19333333333333333,12.147491593880533,0.1381552824484523
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.195,12.252211349000193,0.14041346219380632
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.19666666666666666,12.356931104119852,0.14268706634598538
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.19833333333333333,12.461650859239512,0.14497599751135723
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.2,12.566370614359172,0.1472801576397278
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.20166666666666666,12.671090369478831,0.14959944802854458
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.2033333333333333,12.775810124598491,0.15193376932712918
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.205,12.880529879718152,0.1542830215409251
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.20666666666666664,12.98524963483781,0.1566471040357864
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.20833333333333331,13.08996938995747,0.1590259155422859
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.21,13.194689145077131,0.16141935416005868
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.21166666666666664,13.29940890019679,0.16382731736215897
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.21333333333333332,13.40412865531645,0.1662497019994575
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.215,13.50884841043611,0.1686864043050574
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.21666666666666665,13.613568165555769,0.17113731989874464
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.21833333333333332,13.71828792067543,0.17360234379145112
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.22,13.82300767579509,0.17608137038975732
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.22166666666666665,13.927727430914748,0.1785742935004136
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.22333333333333333,14.032447186034409,0.18108100633489332
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.225,14.137166941154069,0.18360140151396045
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.22666666666666666,14.241886696273728,0.18613537107227415
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.22833333333333333,14.346606451393388,0.18868280646301078
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.23,14.451326206513048,0.19124359856251935
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.23166666666666666,14.556045961632707,0.1938176376749881
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.23333333333333334,14.660765716752367,0.19640481353714853
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.235,14.765485471872028,0.19900501532299592
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.23666666666666664,14.870205226991686,0.2016181316485429
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.2383333333333333,14.974924982111347,0.20424405057658165
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.24,15.079644737231007,0.20688265962148375
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.24166666666666664,15.184364492350666,0.2095338457540223
a,continuous,standard,0,10,1024,1,4,16,14,0.1,3.141592653589793,62.83185307179586,0.003831206899431179,0.24333333333333332,15.289084247470326,0.21219749540620603
